restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
Jersey Mike's,chocolate-chip-brownie,Chocolate Chip Brownie,,170,2,9,21,70,4,0,30,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,add-pepperoni,Add Pepperoni,,60,3,5,1,230,2,0.1,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,add-bacon,Add Bacon,,30,2,3,0,100,1,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,1-mini-extra-bacon,#1 - Mini Extra Bacon,,70,5,6,0,200,2,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,2-mini-extra-meat,#2 - Mini Extra Meat,,25,4,0.5,1,290,0.2,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,3-mini-extra-meat,#3 - Mini Extra Meat,,30,6,1,0,390,0.2,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,4-mini-extra-meat,#4 - Mini Extra Meat,,20,3,0.5,1,230,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,5-mini-extra-meat,#5 - Mini Extra Meat,,35,6,1,1,420,0.3,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,6-mini-extra-meat,#6 - Mini Extra Meat,,50,10,1.5,0,110,0.5,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,7-mini-extra-meat,#7 - Mini Extra Meat,,35,6,1,1,270,0.4,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,8-mini-extra-meat,#8 - Mini Extra Meat,,70,8,4,1,430,1.5,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,9-mini-extra-meat,#9 - Mini Extra Meat,,80,10,4.5,0,290,1.5,0,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,10-mini-extra-meat,#10 - Mini Extra Meat,,110,5,10,0,150,1.5,0.1,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,11-mini-extra-meat,#11 - Mini Extra Meat,,40,4,2.5,0,290,1,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
