name,code,category,url,image_url,image_path,price,serving_size,ingredients,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian
Meal for 2,23218,Online exclusives,https://www.tacobell.com/food/party-packs/meal-for-2,https://www.tacobell.com/images/23218_meal_for_2_269x269.jpg,images/Meal_for_2.jpg,$12.50,,,180-530,,,,,,,,,,,False
Meal for 4,23220,Online exclusives,https://www.tacobell.com/food/party-packs/meal-for-4,https://www.tacobell.com/images/23220_variety_cravings_meal_269x269.jpg,images/Meal_for_4.jpg,$20.83,,,180-530,,,,,,,,,,,False
Veggie Meal for 2,23219,Online exclusives,https://www.tacobell.com/food/party-packs/veggie-meal-for-2,https://www.tacobell.com/images/23219_veggie_meal_for_2_269x269.jpg,images/Veggie_Meal_for_2.jpg,$12.50,,,220-470,,,,,,,,,,,True
Drinks Party Pack,21210,Online exclusives,https://www.tacobell.com/food/deals-and-combos/drinks-party-pack,https://www.tacobell.com/images/21210_drink_party_pack_269x269.jpg,images/Drinks_Party_Pack.jpg,$4.00,,,0-1120,,,,,,,,,,,False
Crispy Chicken Nuggets Deluxe Combo,29414,Combos,https://www.tacobell.com/food/deals-and-combos/crispy-chicken-nuggets-deluxe-combo,https://www.tacobell.com/images/29414_crispy_chicken_nuggets_deluxe_combo_269x269.jpg,images/Crispy_Chicken_Nuggets_Deluxe_Combo.jpg,$11.99,,,1160-1580,,,,,,,,,,,False
10 Piece Crispy Chicken Nuggets Combo,29409,Combos,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets-combo,https://www.tacobell.com/images/29409_10pc_crispy_chicken_nuggets_combo_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets_Combo.jpg,$10.99,,,950-1370,,,,,,,,,,,False
Discovery Luxe Box,23833,Combos,https://www.tacobell.com/food/deals-and-combos/discovery-luxe-box,https://www.tacobell.com/images/23833_discovery_luxe_box_269x269.jpg,images/Discovery_Luxe_Box.jpg,$9.00,,,1200-1480,,,,,,,,,,,False
Build Your Own Luxe Cravings Box,23622,Combos,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$6.99,,,690-1940,,,,,,,,,,,False
Supreme Luxe Box,27276,Combos,https://www.tacobell.com/food/deals-and-combos/supreme-luxe-box,https://www.tacobell.com/images/27276_supreme_luxe_box_269x269.jpg,images/Supreme_Luxe_Box.jpg,$7.00,,,1160-1440,,,,,,,,,,,False
Classic Luxe Box,27272,Combos,https://www.tacobell.com/food/deals-and-combos/classic-luxe-box,https://www.tacobell.com/images/27272_classic_luxe_box_269x269.jpg,images/Classic_Luxe_Box.jpg,$5.00,,,820-1100,,,,,,,,,,,False
Meal for 2,23218,Groups,https://www.tacobell.com/food/party-packs/meal-for-2,https://www.tacobell.com/images/23218_meal_for_2_269x269.jpg,images/Meal_for_2.jpg,$12.50,,,180-530,,,,,,,,,,,False
