name,category,url,image_url,image_path,price,calories,calories_kcal,sodium_mg,sugars_g,protein_g,description,price_cal_text
Pintos N Cheese,vegetarian,https://www.tacobell.com/food/sides/pintos-n-cheese,https://www.tacobell.com/images/22510_pintos_n_cheese_269x269.jpg,images/Pintos_N_Cheese.jpg,$0.00,0,True,False,False,False,,
Cinnamon Twists,vegetarian,https://www.tacobell.com/food/sweets/cinnamon-twists,https://www.tacobell.com/images/22525_cinnamon_twists_269x269.jpg,images/Cinnamon_Twists.jpg,$0.00,0,True,False,False,False,Chips and Nacho Cheese Sauce,
Cinnabon Delights® 2 Pack,vegetarian,https://www.tacobell.com/food/sweets/cinnabon-delights-2-pack,https://www.tacobell.com/images/30046_cinnabon_delights_2_pack_269x269.jpg,images/Cinnabon_Delights_2_Pack.jpg,$0.00,0,True,False,False,False,Cinnabon Delights® 12 Pack,
Cinnabon Delights® 12 Pack,vegetarian,https://www.tacobell.com/food/sweets/cinnabon-delights-12-pack,https://www.tacobell.com/images/30045_cinnabon_delights_12_pack_269x269.jpg,images/Cinnabon_Delights_12_Pack.jpg,$0.00,0,True,False,False,False,Cinnabon Delights® 2 Pack,
Confetti Cookie Freeze,fountain drinks,https://www.tacobell.com/food/drinks/confetti-cookie-freeze,https://www.tacobell.com/images/2388_confetti_cookie_sprinkle_freeze_269x269.jpg,images/Confetti_Cookie_Freeze.jpg,$0.00,260,260,False,False,False,Beefy Potato Loaded Griller,
Blue Raspberry Freeze,fountain drinks,https://www.tacobell.com/food/drinks/blue-raspberry-freeze,https://www.tacobell.com/images/1663_blue_raspberry_freeze_bug_269x269.jpg,images/Blue_Raspberry_Freeze.jpg,$0.00,150,150,False,False,False,"A sweet and tart, blue raspberry-flavored Freeze.",
Mountain Dew Baja Midnight™,fountain drinks,https://www.tacobell.com/food/drinks/mountain-dew-baja-midnight,https://www.tacobell.com/images/3782_mtn_dew_baja_blast_midnight_269x269.jpg,images/Mountain_Dew_Baja_Midnight.jpg,$0.00,420,420,False,False,False,Chips and Nacho Cheese Sauce,
Strawberry Passionfruit Agua Refresca,fountain drinks,https://www.tacobell.com/food/drinks/strawberry-passionfruit-agua-refresca,https://www.tacobell.com/images/3717_strawberry_passionfruit_agua_refresca_269x269.jpg,images/Strawberry_Passionfruit_Agua_Refresca.jpg,$0.00,0,0,False,False,False,Medium Mango Peach Agua Refresca,
Mango Peach Agua Refresca,fountain drinks,https://www.tacobell.com/food/drinks/mango-peach-agua-refresca,https://www.tacobell.com/images/3719_mango_peach_agua_refresca_269x269.jpg,images/Mango_Peach_Agua_Refresca.jpg,$0.00,0,0,False,False,False,Medium Pineapple Lime Rockstar® Energy Refresca,
Dragonfruit Berry Agua Refresca,fountain drinks,https://www.tacobell.com/food/drinks/dragonfruit-berry-agua-refresca,https://www.tacobell.com/images/3718_dragonfruit_berry_agua_refresca_269x269.jpg,,,,,,,,,
Tropical Punch Rockstar® Energy Refresca,fountain drinks,https://www.tacobell.com/food/drinks/tropical-punch-rockstar-refresca,https://www.tacobell.com/images/3660_tropical_punch_rockstar_refresca_269x269.jpg,images/Tropical_Punch_Rockstar_Energy_Refresca.jpg,$0.00,80,80,False,False,False,Medium Strawberry Passionfruit Agua Refresca,
